LST,NDVI,Precipitation,Temperature,year,admin_1,product,indicator,value,year_sin,year_cos,state_encoded,temp_x_precip,lst_x_ndvi,yield_lag1,yield_lag2,yield_lag3,yield_roll3,yield_roll5,yield_std3,yield_diff1,yield_pct,state_te
305.99786,0.43620792,1229.9347,27.047836,2003,Abia,Maize,yield,1.5890410958904109,0.258819045102566,-0.9659258262890562,0,33267.0720563092,133.47869003505122,1.6266666666666667,1.6266666666666667,1.6629213483146068,1.6387515605493135,1.6387515605493135,0.020931650208822306,-0.037625570776255834,-0.023130473837862153,1.5788553008427348
305.37308,0.4265949,1194.7395,27.10436,2004,Abia,Maize,yield,1.6022099447513811,-1.8628248921044712e-14,-1.0,0,32382.649514219996,130.270598525292,1.5890410958904109,1.6266666666666667,1.6266666666666667,1.614124809741248,1.6263239443845878,0.021723133416084655,0.01316884886097025,0.008287292817679592,1.529853484999848
305.5993,0.42260066,1155.0626,27.43251,2005,Abia,Maize,yield,1.5130984643179766,-0.25881904510249215,-0.965925826289076,0,31686.266325126,129.146465875538,1.6022099447513811,1.5890410958904109,1.6266666666666667,1.6059725691028195,1.6215011444579464,0.01909290183726119,-0.08911148043340456,-0.05561785502912486,1.560237878361045
305.8544,0.42724425,1304.5823,27.389,2006,Abia,Maize,yield,1.4546899841017489,-0.4999999999999325,-0.8660254037844776,0,35731.2046147,130.6745337372,1.5130984643179766,1.6022099447513811,1.5890410958904109,1.5681165016532563,1.5915365676586206,0.048099822964855675,-0.05840848021622769,-0.03860190304439648,1.564477686787457
305.77606,0.42522404,1255.792,27.021614,2007,Abia,Maize,yield,1.3522747707246898,-0.7071067811865387,-0.7071067811865563,0,33933.526688287995,130.0233315684824,1.4546899841017489,1.5130984643179766,1.6022099447513811,1.5233327977237021,1.557141231145637,0.07429058407841445,-0.10241521337705906,-0.07040346362204386,1.529853484999848
305.84323,0.4233107,1277.7548,26.675346,2008,Abia,Maize,yield,1.3514754098360655,-0.8660254037844651,-0.49999999999995415,0,34084.5513931608,129.466711781561,1.3522747707246898,1.4546899841017489,1.5130984643179766,1.4400210730481386,1.5022628519572414,0.08140913842358842,-0.000799360888624312,-0.0005911231252180293,1.564477686787457
306.06,0.42762327,1271.8428,27.365923,2009,Abia,Maize,yield,1.2097471723220226,-0.9659258262890695,-0.25881904510251624,0,34805.1521329044,130.8783780162,1.3514754098360655,1.3522747707246898,1.4546899841017489,1.3861467215541683,1.4547497147463724,0.059361552160953734,-0.14172823751404295,-0.10486926841771738,1.5836967551992118
306.0535,0.4254658,1287.4465,27.45352,2010,Abia,Maize,yield,1.2937812723373838,-1.0,-4.3605472797921425e-14,0,35344.93823668,130.2152972203,1.2097471723220226,1.3514754098360655,1.3522747707246898,1.3044991176275926,1.3762571602605005,0.08205856505478296,0.08403410001536127,0.06946418387080322,1.560237878361045
306.34503,0.42302173,1220.7533,27.04393,2011,Abia,Maize,yield,1.3064241374332324,-0.9659258262890921,0.25881904510243203,0,33013.966792469,129.5906045675019,1.2937812723373838,1.2097471723220226,1.3514754098360655,1.285001284831824,1.332393721864382,0.07127088790423318,0.012642865095848554,0.009772026668006806,1.564477686787457
305.59457,0.42084876,1304.7032,26.770334,2012,Abia,Maize,yield,1.2450605393505778,-0.8660254037844518,0.4999999999999771,0,34927.3404348688,128.6090958472332,1.3064241374332324,1.2937812723373838,1.2097471723220226,1.2699841940308796,1.3027405525306788,0.05254840242788682,-0.06136359808265457,-0.04697065548958501,1.5788553008427348
306.6914,0.4259423,1048.5135,27.119905,2013,Abia,Maize,yield,1.3687186736923274,-0.7071067811865199,0.707106781186575,0,28435.5865112175,130.63284030622,1.2450605393505778,1.3064241374332324,1.2937812723373838,1.2817553163737314,1.2812977062558564,0.03240124233794697,0.12365813434174955,0.09931897320129468,1.560237878361045
306.36066,0.4242326,1159.8105,27.012936,2014,Abia,Maize,yield,1.1005089058524171,-0.5000000000000081,0.866025403784434,0,31329.886808628,129.968179329516,1.3687186736923274,1.2450605393505778,1.3064241374332324,1.3067344501587126,1.2847463590271089,0.06182965120159916,-0.26820976783991024,-0.195956826625572,1.5836967551992118
306.16895,0.4036002,1114.3763,27.112036,2015,Abia,Maize,yield,1.1650753768844222,-0.25881904510257636,0.9659258262890534,0,30213.010363146797,123.56984945379,1.1005089058524171,1.3687186736923274,1.2450605393505778,1.2380960396317742,1.2628987057331877,0.13424044876055347,0.06456647103200508,0.05866964882214565,1.5788553008427348
306.33463,0.4153306,1207.252,27.302628,2016,Abia,Maize,yield,1.8935983630517392,7.847643204728474e-15,1.0,0,32961.152258256,127.230145678678,1.1650753768844222,1.1005089058524171,1.3687186736923274,1.2114343188097223,1.2371575266425954,0.13998565467043364,0.728522986167317,0.6253011612995303,1.529853484999848
306.3891,0.41154227,1127.9817,27.362865,2017,Abia,Maize,yield,1.859925788497217,0.2588190451024817,0.9659258262890787,0,30864.810979570502,126.09206571725699,1.8935983630517392,1.1650753768844222,1.1005089058524171,1.3863942152628594,1.3545923717662967,0.4404364232736259,-0.03367257455452233,-0.01778232132618418,1.529853484999848
306.11203,0.42416587,1310.2294,27.159376,2018,Abia,Maize,yield,1.5574301525172087,0.5000000000000216,0.8660254037844262,0,35585.0129208544,129.8422755224161,1.859925788497217,1.8935983630517392,1.1650753768844222,1.6395331761444594,1.4775654215956244,0.41123729527888225,-0.30249563598000817,-0.16263855141468775,1.5836967551992118
